IDs,Formula,Definition,Lower bound,Upper bound,Reaction name,comments,DB_IDs,ECs,Compartments,Kegg Definition,Kegg Equation,Pathways
BIOMASS,0.253 13BDglcn_1g_c  +  0.048 ash_1g_c  +  60.0 atp_c  +  0.01 chitin_1g_c  +  0.005 dna_1g_c  +  0.1 glycogen_1g_c  +  60.0 h2o_c  +  0.07 mannan_1g_c  +  0.04 phospholipid_1g_c  +  0.4 protein_1g_c  +  0.058 rna_1g_c  +  0.001 sterol_1g_r  +  0.015 trehalose_1g_c + 0.0001 ficytc_c + 0.0001 focytc_c + 0.0001 retn_c + 0.0001 thmtp_c + 0.0001 ribflv_c + 0.0001 btn_c + 0.0001 q6_m + 0.0001 coa_c + 0.0001 thf_c -->  60.0 adp_c  +  biomass_1g_c  +  60.0 h_c  +  60.0 pi_c,(1->3)-D-glucan 1 g  +  Mannan 1 g  +  Chitin 1 g  +  Glycogen 1 g  +  Trehalose 1 g  +  protein  +  RNA 1 g  +  DNA 1 g  +  Phospholipid 1 g  +  Sterol  +  ash 1 g  +  ATP(4-)  +  water  + ferrocytochrome + retn_c +  thmtp_c  + ribflv_c +  btn_c  + q6_m <=>   ADP(3-)  +  hydrogenphosphate  +  H +   +  Biomass 1 gDCW,0,1000,artificial,,ND,artificial,0,,,
UF00001_C,2Dh3dLfucn_c + nad_c <=> 24Dk3dLfucn_c + nadh_c + h_c,"2-Dehydro-3-deoxy-L-fuconate + NAD+ <=> 2,4-Diketo-3-deoxy-L-fuconate + NADH + H+",-1000,1000,2-keto-3-deoxy-L-fuconate dehydrogenase (1.1.1.-),,R10690,1.1.1.-,1,"2-Dehydro-3-deoxy-L-fuconate + NAD+ <=> 2,4-Diketo-3-deoxy-L-fuconate + NADH + H+",C03827 + C00003 <=> C20781 + C00004 + C00080,"rn00051  Fructose and mannose metabolism, rn01120  Microbial metabolism in diverse environments"
UF00002_C,2mppal_c  +  nad_c + h2o_c -->  2.0 h_c  +  ibt_c  +  nadh_c,2-methylpropanal  +  NAD(1-)  <=>   NADH(2-)  +  H +   +  isobutyrate,0,1000,aldehyde dehydrogenase (?) (1.1.1.-),,ND,1.1.1.-,1,,,
UF00003_C,4hpheetoh_c  +  nad_c  -->  4hacetophenone_c  +  h_c  +  nadh_c,4-(1-hydroxyethyl)phenol  +  NAD(1-)  <=>   4'-hydroxyacetophenone  +  NADH(2-)  +  H + ,0,1000,alcohol dehydrogenase (1.1.1.-),,ND,1.1.1.-,1,,,
UF00004_C,btal_c  +  h_c  +  nadh_c  <=>  btoh_c  +  nad_c,butanal  +  NADH(2-)  +  H +   <=>   butan-1-ol  +  NAD(1-),-1000,1000,alcohol dehydrogenase (1.1.1.-),,ND,1.1.1.-,1,,,
UF00005_C,4hdbzld_c + nadh_c + h_c --> 4hdbzol_c + nad_c,4-hydroxybenzaldehyde + NADH + H+ <=> 4-hydroxybenzyl alcohol + NAD+ + H2O,0,1000,alcohol dehydrogenase (1.1.1.-),,ND,1.1.1.-,1,,,
UF00006_C,34dmbzld_c + nadph_c + h_c --> 34dmbzol_c + nadp_c,veratraldehyde + NADPH + H+ <=> veratryl alcohol + NADP + H2O,0,1000,alcohol dehydrogenase (1.1.1.-),,ND,1.1.1.-,1,,,
UF00007_C,34dmcld_c + nadph_c + h_c --> 34dmcol_c + nadp_c,"3,4-dimethoxy cinnamic aldehyde + NADPH + H+ <=> 3,4-dimethoxy cinnamyl alcohol + NADP+ ",0,1000,alcohol dehydrogenase (1.1.1.-),,ND,1.1.1.-,1,,,
UF00008_C,furfurylalcohol_c  +  nad_c  <=>  furfural_c  +  h_c  +  nadh_c,NAD(1-)  +  Furfuryl alcohol  <=>   Furfural  +  H +   +  NADH(2-),-1000,0,furfuryl alcohol dehydrogenase (1.1.1.-),,RXN-13099,1.1.1.-,1,,,
UF00009_C,furfural_c  +  h_c  +  nadph_c  -->  furfurylalcohol_c  +  nadp_c,Furfural  +  NADPH(4-)  +  H +   <=>   NADP(3-)  +  Furfuryl alcohol,0,1000,alcohol dehydrogenase (1.1.1.-),,ND,1.1.1.-,1,,,
